Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
F,0.6855458524830758,0.45581870117543205,0.19375094243177587,1.6183833916311328,0.7353520467989244,0.32559145387003813,0.3654817376367714
I,0.7170248577779902,0.5630957094475557,0.20627093023184923,1.6960975638482552,0.47283285709150763,0.26157848342450785,0.32734879373660764
F,0.687896009275909,0.42319160612750045,0.2091724528570219,1.2733558175766835,0.3979324936907887,0.3878428504335186,0.46241993688065286
I,0.6536462678126802,0.5017211124213337,0.17279755167464916,1.3066007600838476,0.4539192291279843,0.34995756509777276,0.4611906059448079
M,0.6729449940205665,0.4484891581569878,0.21524262795497998,1.4253646852226072,0.4194952968188522,0.3822473721070003,0.34966360099652827
M,0.6743720776631847,0.432432334687143,0.15675423895335422,1.614867557169066,0.4203134721581515,0.2651676874734559,0.39013109048997124
I,0.6618850698166638,0.5748922708248351,0.2231871985915923,1.260690288527456,0.4943142678590355,0.22365508545183815,0.48826645441913263
I,0.6801134471195585,0.497751350927176,0.22078728202078307,1.2474770187770716,0.4441536513156872,0.37655235557927746,0.4177805057265772
F,0.6419771442153791,0.5333965987397893,0.15977847761562114,1.5133045531818567,0.748482846266948,0.2914628009751739,0.4669813800320439
F,0.7014392931685767,0.43693496316088104,0.17052124434455693,1.251982216021269,0.6087535636669361,0.21023551167719806,0.41799524819439093
M,0.6500731738268477,0.5237348850337806,0.22266924465674864,1.9643924308402407,0.7740755875286314,0.31358210234042,0.45647321692584897
F,0.7206146006711729,0.49948705418626993,0.21203868643061585,1.9521940143113397,0.7017583066733006,0.3377645103347569,0.4147935357053814
F,0.6847029692978261,0.6034107494025037,0.20137407150524958,1.8875488034500778,0.7209034578460501,0.30103060471119714,0.4743948295974769
M,0.7303887457551919,0.6071333549349963,0.19081273334176663,1.8727499194258321,0.7717195554235514,0.29955170396963127,0.46395206339456174
F,0.7161157342602178,0.5677633825494042,0.17971233889833435,1.958117503630884,0.77540294980332,0.2742462411015419,0.3767216679323609
F,0.7038146120978087,0.6038350203752535,0.2219667340252345,1.8590303273324804,0.7935545298262586,0.30570618510760006,0.48853911197560806
F,0.7218749994827803,0.533916142944344,0.19161845379859704,1.9325740846469435,0.6980359165459509,0.3917219929017542,0.3738825375008356
F,0.6823308800801287,0.5579954494174302,0.18299156810641704,1.997290699301559,0.7322192523678117,0.2650286573717701,0.45465105228746894
F,0.7166302068982091,0.6230490297157113,0.1797367982933524,1.9446661120984174,0.7761466118899677,0.33986266792099573,0.47563492447655975
M,0.6973923000404865,0.5872237383917126,0.1684846120578959,1.8769841564500482,0.6687252387300113,0.3287845951697629,0.45295011989820416
M,0.2169493097140685,0.14829001253827306,0.04597548353389755,1.70507403924639,0.14405428825551836,0.00435256918550446,0.09134683753247844
F,0.6653893646446261,0.5332056814998084,0.19435572568645237,1.436382682237671,0.6308359407489472,0.33195567665215886,0.45792654733000715
F,0.2118454055430729,0.21011398695620898,0.054508406903766835,2.020197482768824,0.16216716392134833,0.2717646505671966,0.021464813886504452
F,0.5646090841487599,0.44756669573072505,0.15566862900456593,0.9960462913209128,0.4350727170959109,0.22085996384280587,0.3017811263069248
F,0.36445433596801013,0.11226608432222362,0.02302588648079812,1.6262931783657812,0.12490515246173811,0.06674820280600853,0.08848636890102118
I,0.6452333085454529,0.5160778843459918,0.1866183063500751,1.3576018213570624,0.59168329601834,0.30973653409028823,0.42669746312539064
F,0.16758917371751492,0.12135544824524824,0.008445605256590577,1.9414166218882156,0.16919793813682718,0.273476555641691,0.19348728318836772
F,0.6049211963471064,0.4818222900383584,0.1711434676773205,1.1536080130821298,0.5133780065571254,0.2652982489665471,0.3642392947161577
M,0.7867632395742663,0.5377281592098957,0.21768851694778135,1.941693640590714,0.9837049456726623,0.4200272121593025,0.5175757668882377
I,0.6855454207437993,0.5503334786536251,0.20209314502282968,1.5151635431182795,0.6699885854795545,0.3541748192140295,0.4891556315346236
M,0.7680928190224116,0.5712242830151902,0.11615448040734733,2.1818526933851032,1.0550429587597556,0.3669871970937538,0.7241878380015744
F,0.5394140140247934,0.42615694928845416,0.1459968548340943,0.8975702152201521,0.3861319111826518,0.19308603564046764,0.2627447710511542
F,0.7116636950679849,0.5313789756550262,0.23260955977401765,1.5278171022650207,0.677336627434188,0.4170315065440453,0.4202445157780298
F,0.6200382384214863,0.4946681379037209,0.1769465321796035,1.2126936587425863,0.5427424901050809,0.28196260588795,0.38766110786962005
M,0.7003824843526809,0.652765391594799,0.18275887924438375,2.2495335798879195,0.9819588150443329,0.55099609955389,0.6929866738158101
I,0.5797261262231398,0.4604125435960875,0.1614716935068489,1.0551319369813692,0.46443720064386634,0.23752432076420882,0.32520293946038714
I,0.9932446267590087,0.5630214644304428,0.192224623269937,1.6853788240262375,0.5877363391617707,0.468240821848384,0.5593318372916594
I,0.6603503506198328,0.5289237322113542,0.19242137085235805,1.4166874670175187,0.6210477795662954,0.32640089101169123,0.450119276278853
M,0.9374076549265669,0.7372166934639075,0.17676076483678982,2.0833766172843426,1.057268602511256,0.392235021893447,0.6256073768795782
F,0.5595700701239666,0.44328474644227084,0.15373427417047159,0.9763510761007607,0.4252845559132591,0.21530517820233824,0.29397385525577063
F,0.6168391736077437,0.581134383545543,0.2973721679521344,2.0680516425679127,0.7436339521981283,0.6854887903725859,0.6201637256713569
I,0.6401942945206596,0.5117959350575376,0.18468395151598077,1.3379066061369103,0.5818951348356882,0.3041817484498206,0.41889019207423656
F,0.5813447758820316,0.5127050177068824,0.20651403228305623,1.9217214066680632,0.14536395824713666,0.34336426730788583,0.35380269476705667
I,0.599882182322313,0.4775403407499042,0.16920911284322618,1.1339127978619779,0.5035898453744736,0.25974346332607945,0.3564320236650036
M,0.7678441926634927,0.6618587073056426,0.1951579096916206,2.082096705392646,0.9468302212962595,0.5199859460359574,0.6126173553978445
I,0.6805064067190061,0.546051529365171,0.20015879018873534,1.4954683278981273,0.6602004242969027,0.3486200335735618,0.4813483604834695
M,0.5999043552340051,0.5538416387405334,0.17468187553127634,2.0792831284292803,0.7454294808592732,0.5129351133301812,0.5521406951311711
F,0.54949204207438,0.4347208478653625,0.14986556450228294,0.9369606456604563,0.40570823354795543,0.20419560692140293,0.2783593131534624
F,0.8221787920276854,0.5459806100722515,0.2377062653409454,2.131700520349837,1.1150922543688597,0.44401945538997295,0.5641173977362199
I,0.6301162664710729,0.5032320364806293,0.18081524184779213,1.298516175696606,0.5623188124703845,0.29307217716888534,0.40327564997192833
M,0.7923394914941124,0.674552306903284,0.16411059314710824,2.5098433633996122,1.35062558753985,0.5017018732923957,0.6463496992038577
F,0.5898041542727265,0.4689764421729959,0.16534040317503754,1.0945223674216735,0.48401352300917,0.24863389204514413,0.3408174815626953
M,0.7838547439321668,0.6043295058622051,0.21340660575685325,1.9686030660969733,0.7673764295662335,0.5161320437053647,0.6762274256836552
