Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight
I,0.18209668390182232,0.12155557602644135,0.5759692132263745,1.5759764865324946,0.2431209613332242,0.48561257895820115,0.45650587773247375
I,0.601825153722524,0.4827962536314258,0.16710684943821597,1.2269257432662473,0.5536052671130437,0.26568437163030345,0.3389520182111523
M,0.17896313735531,0.047460201554964054,0.0025490666565830267,1.925027229798742,0.05607182976273761,0.5723525158773449,0.08681809118667505
I,0.568100076861262,0.45233562681571293,0.15558467471910797,1.0524003716331236,0.46497450855652184,0.2266078108151517,0.29694475910557616
M,0.19200819128692642,0.162227752431639,0.5430934401572828,1.7505018581656184,0.008342030341933704,0.5560440475479208,0.06869938405824641
I,0.6355502305837859,0.5132568804471387,0.17862902415732396,1.4014511148993711,0.6422360256695656,0.30476093244545516,0.3809592773167284
M,0.06324401322678003,0.022943657880337767,0.01724868529215165,2.0995526014318657,0.10123175945786139,0.20379116975048034,0.5379751528455397
F,0.5512375384306311,0.43710531340785647,0.14982358735955398,0.9651376858165618,0.4206591292782609,0.20706953040757584,0.2759411295527881
I,0.2552131417243544,0.20247869599694154,0.15132291491138286,1.6632391723490567,0.2733413057636904,0.5707906435412289,0.10260668120581534
I,0.6186876921531549,0.4980265670392823,0.17286793679776996,1.3141884290828092,0.5979206463913046,0.2852226520378793,0.3599556477639403
M,0.537556503660498,0.48713743414963967,0.06946679489316979,2.012289915615304,0.134394342467768,0.08897717643279783,0.5603061429725109
I,0.584962615291893,0.46756594022356934,0.16134576207866197,1.1396630574496855,0.5092898878347828,0.24614609122272757,0.3179483886583642
M,0.14608540519244906,0.5640554579473251,0.005518396183731428,1.8377645439821801,0.27998705248059164,0.003861184342637186,0.07370191246163221
I,0.6524127690144169,0.5284871938549952,0.18439011151687795,1.4887138007159328,0.6865514049478265,0.324299212853031,0.4019629068695164
M,0.048877158258284925,0.0026099049315055772,0.014523012946140584,2.186815287248428,0.0001873593496599102,0.07321225799114599,0.39270831882493834
F,0.5428062692153155,0.4294901567039282,0.14694304367977698,0.9215063429082809,0.39850143963913043,0.19730039020378792,0.26543931477639404
I,0.3108780973597304,0.2347001950242585,0.5788624161232262,1.6196078294407756,0.558645305728117,0.10323818563043656,0.05062751308551755
I,0.6102564229378394,0.49041141033535407,0.16998739311799296,1.2705570861745283,0.5757629567521741,0.27545351183409134,0.3494538329875463
M,0.30016529174018947,0.0008594771953579494,0.0567325040618412,1.9686585727070232,0.5776440600673753,0.0743784842264882,0.5590173056072303
I,0.5765313460765775,0.45995078351964114,0.15846521839888497,1.0960317145414047,0.4871321981956523,0.23637695101893963,0.30744657388197016
M,0.43065722684753466,0.1381390225446315,0.00412670794867287,1.7941332010738993,0.0036608235822603863,0.4199250215963496,0.1274761497223926
I,0.6439814997991014,0.5208720371510669,0.18150956783710093,1.445082457807652,0.6643937153086961,0.31453007264924304,0.3914610920931224
M,0.5577128004387704,0.04072914614451428,0.08561599476138688,2.1431839443401466,0.5426727808315175,0.5516009472896625,0.572355243363079
I,0.5596688076459465,0.44472047011178467,0.15270413103933098,1.0087690287248428,0.4428168189173914,0.21683867061136378,0.2864429443291821
M,0.8218727677275518,0.477946784649113,0.23642300929195342,1.7068705152573376,0.8101450134336661,0.36744044405211534,0.33473496912206824
I,0.6271189613684705,0.5056417237432105,0.17574848047754693,1.35781977199109,0.620078336030435,0.2949917922416672,0.37045746254033435
M,0.8135583148027961,0.4491628910332544,0.2091155193260386,2.144586275138153,1.1784948226246263,0.30826738285506966,0.6550917537725656
I,0.5933938845072084,0.4751810969274976,0.16422630575843897,1.1832944003579664,0.5314475774739132,0.2559152314265155,0.3284502034347582
M,0.4478426177587076,0.38630494313093755,0.21777585192816,1.8813958868904612,1.0315080659469174,0.387824655054281,0.199062604189233
I,0.6608440382297324,0.5361023505589234,0.18727065519665492,1.5323451436242137,0.708709094586957,0.3340683530568189,0.41246472164591047
M,0.7683705812180305,0.5934290469553445,0.14045796723569445,2.2304466301567087,0.8850342553703079,0.3671140430230727,0.40645609697279117
F,0.5385906346076578,0.4256825783519641,0.14550277183988847,0.8996906714541404,0.3874225948195652,0.19241582010189395,0.26018840738819704
I,0.6773487631203451,0.6278012019667315,0.16562859684476802,1.9581952880057998,1.0949432524361107,0.4856649418375346,0.35683926835392543
I,0.6060407883301817,0.4866038319833899,0.16854712127810445,1.2487414147203877,0.5646841119326089,0.27056894173219737,0.3442029255993493
M,0.6940234804358215,0.6709319341334633,0.2937175188507549,2.3072460312720473,1.243403447335999,0.40662312380058035,0.6472877859388819
I,0.5723157114689197,0.45614320516767703,0.15702494655899646,1.074216043087264,0.47605335337608706,0.23149238091704566,0.30219566649377316
M,0.9319065873494348,0.5196454280307005,0.2155470833692436,2.1327206596389234,1.2313591945275237,0.45065244130916876,0.4137615481523135
I,0.6397658651914436,0.5170644587991028,0.18006929599721244,1.4232667863535116,0.6533148704891307,0.3096455025473491,0.3862101847049254
M,0.6756537308436464,0.6095618221868369,0.12505376351267283,2.121368272886006,0.5417393624538183,0.42378870709785876,0.625144842235908
F,0.5554531730382888,0.44091289175982057,0.15126385919944246,0.9869533572707023,0.43173797409782616,0.2119541005094698,0.2811920369409851
M,0.641909049460869,0.5593728749196047,0.1881260217613623,1.8156885550421074,1.0274629153491084,0.4534113659410879,0.3003052660637027
I,0.6229033267608126,0.5018341453912464,0.17430820863765845,1.3360041005369496,0.6089994912108698,0.29010722213977325,0.36520655515213735
M,0.946354841605848,0.6285870910871038,0.17372882249986807,2.0341055870694444,0.9500955228700816,0.4521069046764634,0.44102869685623236
I,0.5891782498995507,0.47137351857553345,0.16278603391855045,1.161478728903826,0.520368732654348,0.25103066132462154,0.3231992960465612
M,0.9180111623989109,0.45918826229018556,0.16288055592381465,1.8595802154363206,0.7242378604163239,0.43615214596683055,0.4822643586334313
I,0.6566284036220746,0.5322947722069593,0.18583038335676644,1.5105294721700733,0.6976302497673917,0.329183782954925,0.40721381425771347
