Sex,Length,Width,Height,Weight,Non_Shell Weight,Intestine Weight,Shell Weight,Stage of Life
M,0.6816017489688163,0.4362353235611804,0.2037083413743594,1.3374559457677484,0.5810610013532793,0.30864196398485,0.4346599076879774,Adult
I,0.6844406676985746,0.5486334578863419,0.1729871595460289,1.2936279288732548,0.4706113617003145,0.2777229499508082,0.3440669884979326,Adult
F,0.7329819277379357,0.5080737041789738,0.2006858994461127,1.338645463230996,0.4611435848706403,0.2340722633120799,0.3567091865682272,Adult
I,0.6876518744471374,0.5147179163836512,0.171459564020741,1.214761796363228,0.4125711482339326,0.2668829170389379,0.4283710825925322,Adult
F,0.6273026235972311,0.51361924092824,0.2095757693863764,1.6774658250645325,0.7025709574419943,0.2280709128102716,0.3442318962196313,Adult
M,0.5800991512713252,0.5709438322240022,0.1581079039524079,1.379344479186816,0.7094218622384206,0.1924539517577819,0.4437770117202506,Adult
I,0.622841264774716,0.5208823242010173,0.1554787333419492,1.354581596655834,0.6421347675400036,0.3115480399283823,0.3846780777139167,Adult
F,0.7517257923718071,0.4479757728920392,0.1923247545839694,1.6628465572291893,0.5336825965423139,0.2558109226290369,0.3375403407084619,Adult
I,0.6486066292465871,0.5907566872957782,0.2182937207062136,1.4845437396250327,0.505840268107995,0.2170889720243896,0.3717039508182058,Adult
I,0.5450065087475028,0.5422530677382904,0.1967857826653525,1.1530058709471214,0.5039400433456022,0.3003457103591201,0.3327629970410423,Adult
F,0.744112358072405,0.5897152340597152,0.1823778936641615,1.932198065197661,0.6609939876922939,0.3032305671543552,0.4144918372859831,Adult
F,0.671243534176238,0.5613571865216807,0.2097071718835526,1.967250791058632,0.7375459625055747,0.2858678993366214,0.470462522292807,Adult
M,0.7375110233455198,0.5868498937164536,0.1685872433811233,1.900073076814904,0.691282361342122,0.3243154114471346,0.4613427605305151,Adult
F,0.7136863834696227,0.6192536128668189,0.194218189199176,1.927244822360617,0.7797304103911107,0.3030263588846625,0.4418633454086956,Adult
F,0.7594190864739857,0.6167941114103845,0.1851607536861467,1.8579309482188544,0.761619714377463,0.330821665265756,0.3525530437316042,Adult
M,0.7002291784357354,0.6022666264305171,0.212687084707031,1.9050706218312692,0.6904521443294229,0.3582463601565819,0.4073624481201437,Adult
F,0.6672456646956373,0.5148636180956263,0.1990941759717903,1.9172991813233784,0.7610053330388683,0.3471407599862461,0.4445123316596739,Adult
F,0.7700286475127338,0.5602075500114483,0.1591983146526212,1.960488633691244,0.7317350169398524,0.2628262706126707,0.4248767828292257,Adult
F,0.679090051502271,0.5686832109348978,0.2102542641883042,1.9519353648908928,0.7897281905983853,0.3114502259613982,0.4900828853516407,Adult
F,0.704744541882482,0.501780624572276,0.1732094145415841,1.954339146215655,0.6696358926870642,0.3368972073541098,0.3960997556777685,Adult
F,0.2682043116378556,0.2260306201673915,0.0798097759181252,1.70507403924639,0.3064896373697052,0.0058170854895382,0.0114672067510271,Adult
F,0.6653893646446261,0.5332056814998084,0.1943557256864523,1.4353210103660512,0.6308359407489472,0.3319556766521588,0.4579265473300071,Adult
M,0.1480388799318274,0.1008948344833506,0.1218800454893475,2.020197482768824,0.362763728317878,0.013693692423375,0.0902294319483626,Adult
F,0.5646090841487599,0.447566695730725,0.1556686290045659,0.9960462913209128,0.4350727170959109,0.2208599638428058,0.3017811263069248,Adult
I,0.3294622664921288,0.0730921607240337,0.0674513768445168,1.6262931783657812,0.2190108114549437,0.038936392383352,0.4797340931054094,Adult
F,0.6452333085454529,0.5160778843459918,0.1866183063500751,1.3565401494854423,0.59168329601834,0.3097365340902882,0.4266974631253906,Adult
M,0.2011682810291883,0.0323710834647352,0.0359159849801424,1.941416621888216,0.1150743239885178,0.1100904794216258,0.0170983452220727,Adult
F,0.6049211963471064,0.4818222900383584,0.1711434676773205,1.1536080130821298,0.5133780065571254,0.2652982489665471,0.3642392947161577,Adult
M,0.6469361208696943,0.5478322905130113,0.2742455443381693,1.7838549001269983,0.9264253600817904,0.4429790197327692,0.2570819939102602,Adult
I,0.6855454207437993,0.5503334786536251,0.2020931450228296,1.5141018712466594,0.6699885854795545,0.3541748192140295,0.4891556315346236,Adult
